name,lat,lng,type,total_spaces,occupied_spaces,hourly_rates,restrictions,is_favorite,id,created_date,updated_date,created_by_id,created_by,is_sample
"Lot 25","39.25463490193582","-76.70290243275095","parking","85","71","","","","68d83995db26e2f1b1c9f022","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 26","39.25259977830959","-76.70488193076885","parking","55","12","","","","68d83995db26e2f1b1c9f023","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 27","39.25225929578194","-76.70627875979885","parking","90","67","","","","68d83995db26e2f1b1c9f024","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 28","39.25139263608792","-76.70709539671294","parking","100","33","","","","68d83995db26e2f1b1c9f025","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 29","39.25854954480188","-76.71613370500215","parking","125","102","","","","68d83995db26e2f1b1c9f026","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 30","39.2583439089727","-76.71719167798125","parking","140","89","","","","68d83995db26e2f1b1c9f027","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Lot 31","39.25980728577264","-76.71471038675473","parking","110","78","","","","68d83995db26e2f1b1c9f028","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Stadium Lot","39.25349143078823","-76.70605092900891","parking","250","45","","","","68d83995db26e2f1b1c9f029","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Walker Avenue Garage","39.25733152537599","-76.71237226715348","parking","320","234","","","","68d83995db26e2f1b1c9f02a","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
"Commons Garage","39.25350645432396","-76.70985938056538","parking","280","167","","","","68d83995db26e2f1b1c9f02b","2025-09-27T19:23:01.143000","2025-09-27T19:23:01.143000","68d838b5dd9abe77e2f4e50a","itzkhushika2004@gmail.com",""
